[440.0, 60.0], [30.0, 264.0], [39.0, 256.0] -0.8333
[439.0, 31.0], [29.0, 264.0], [224.0, 30.0] -1.3076
[438.0, 21.0], [28.0, 264.0], [182.0, 29.0] -1.662
[439.0, 31.0], [29.0, 264.0], [209.0, 31.0] -0.9545
[440.0, 60.0], [30.0, 264.0], [39.0, 256.0] -0.8333
[438.0, 21.0], [28.0, 264.0], [170.0, 33.0] -1.6929
[408.0, 22.0], [28.0, 264.0], [208.0, 31.0] -1.5314
[438.0, 21.0], [28.0, 264.0], [193.0, 29.0] -1.5096
[439.0, 53.0], [29.0, 265.0], [200.0, 58.0] -0.9545
[369.0, 26.0], [29.0, 265.0], [171.0, 33.0] -1.5812
[438.0, 21.0], [28.0, 265.0], [170.0, 33.0] -1.7171
